model_id,model_make_id,model_name,model_trim,model_year,model_body,model_engine_position,model_engine_cc,model_engine_cyl,model_engine_type,model_engine_valves_per_cyl,model_engine_power_ps,model_engine_power_rpm,model_engine_torque_nm,model_engine_torque_rpm,model_engine_bore_mm,model_engine_stroke_mm,model_engine_compression,model_engine_fuel,model_top_speed_kph,model_0_to_100_kph,model_drive,model_transmission_type,model_seats,model_doors,model_weight_kg,model_length_mm,model_width_mm,model_height_mm,model_wheelbase_mm,model_lkm_hwy,model_lkm_mixed,model_lkm_city,model_fuel_cap_l,model_sold_in_us,model_co2,model_make_display,make_display,make_country
"18468","hyundai","Pony","Coupe","1974","Coupe","Front","1238","4","in-line","","83","6000","85","4000","73.0","74.0","","","","","Rear","Manual","4","2","830","4110","1570","1220","2350","","","","45","0","","Hyundai","Hyundai","South Korea"
"18703","infiniti","Q45","","1989","Sedan","Front","4494","8","V","4","281","6000","396","4000","93.1","82.7","10.2:1","Gasoline","","","Rear","Automatic","5","4","1750","5080","1830","1440","2890","","","","72","1","","Infiniti","Infiniti","Japan"
"18819","innocenti","950","","1960","","Front","946","4","in-line","","34","4750","73","2000","","","","Gasoline","","","Rear","Manual","4","","730","3670","1520","1440","2130","","","","","0","","Innocenti","Innocenti","Italy"
"18888","isuzu","Minx","PH 10","1953","","Front","1265","4","in-line","2","38","4200","","2200","","","","Gasoline","","","Rear","Manual","","","960","4070","1580","1530","2370","","","","","0","","Isuzu","Isuzu","Japan"
"19083","italdesign","Tapiro","","1970","","Middle","2400","6","boxer","2","220","7800","","","","","","Gasoline","","","Rear","Manual","","","","4070","1770","1120","","","","","","0","","Italdesign","Italdesign","Italy"
"19148","jaguar","SS","100 2700","1941","","Front","2661","6","in-line","2","","","","","","","","Gasoline","","","","","2","2","1165","3820","1600","1380","2650","","","","68","1","","Jaguar","Jaguar","UK"
"19924","jeep","MB","","1942","","Front","2198","4","in-line","2","60","3820","145","3600","","","","Gasoline","","","4WD","Manual","","","1080","3330","1460","1840","2040","","","","","1","","Jeep","Jeep","USA"
"19990","jensen","Straight 8","","1948","Sedan","Front","3860","8","in-line","","132","4300","","","85.0","85.0","","","","","Rear","Manual","5","4","1525","5110","1780","","3210","","","","86","0","","Jensen","Jensen","UK"
"20323","kia","Brisa","","1974","","Front","985","4","in-line","","54","6000","68","3500","","","","Gasoline","","","Rear","Manual","","","790","3860","1550","1400","2270","","","","","0","","Kia","Kia","South Korea"
"47726","koenigsegg","CC8S","","2002","Coupe","Middle","4719","8","V","4","664","6500","752","2000","","","8.6:1","Gasoline - Premium","389","3.6","Rear","Manual","2","2","1175","4191","1989","1069","2659","","","","","1","","Koenigsegg","Koenigsegg","Sweden"
"20606","lada","1200","Estate","1974","Sedan","Front","1198","4","in-line","","62","5600","87","3400","76.0","66.0","8.8:1","","","","Rear","Manual","5","4","996","4070","1620","1460","2430","","","","46","0","","Lada","Lada","Russia"
"20782","lamborghini","350 GT","","1964","Coupe","Front","3464","12","V","","284","6500","327","4500","77.0","62.0","9.0:1","","251","","Rear","Manual","2","2","1297","4640","1740","1230","2560","","","","","1","","Lamborghini","Lamborghini","Italy"
"21275","lancia","Aprilia","","1941","","Front","1486","4","in-line","2","","","","","","","","Gasoline","","","Rear","Manual","5","","","3970","1480","","2760","","","","","0","","Lancia","Lancia","Italy"
"21619","land-rover","I","","1949","","","1595","4","in-line","2","52","4000","","","","","","Gasoline","","","","","","","","","","","","","","","","1","","Land Rover","Land Rover","UK"
"21723","lexus","LS","","1988","Sedan","Front","3969","8","in-line","4","245","5400","350","4400","","","","Gasoline","","","Rear","Automatic","5","4","1815","5000","1830","1430","2820","","","","","1","","Lexus","Lexus","Japan"
"21893","lincoln","Zephyr","","1941","","Front","4380","12","in-line","2","110","3900","","","","","","Gasoline","","","","","","","1640","5150","1860","1760","3110","","","","","1","","Lincoln","Lincoln","USA"
"22027","lotec","Testa de Oro","","1992","Coupe","Middle","4943","","","","760","","900","","82.0","78.0","","","347","","Rear","Manual","2","2","1650","","","","","","","","","0","","Lotec","Lotec","Germany"
"51989","luxgen","Luxgen7","MPV","2009","Minivan","Front","2200","4","in-line","4","175","5200","270","2500","","","","Gasoline","","","Front","5-speed automated manual","7","5","1830","4845","1876","1768","","","","","","0","","Luxgen","Luxgen","Taiwan"
"22219","mahindra","Armada","","1990","SUV","Front","2300","4","in-line","","75","4500","","","","","","Gasoline","","","4WD","Manual","5","5","2000","4310","","","","","","","","0","","Mahindra","Mahindra","India"
"22298","marcos","GT","","1959","","Front","997","4","in-line","","60","","","","","","","","","","Rear","Manual","2","2","394","3690","1400","","2220","","","","","1","","Marcos","Marcos","UK"
"22552","maserati","4","CL","1941","","Front","1490","4","in-line","2","221","8000","","","","","","Gasoline","","","Rear","Manual","","","630","","","","2510","","","","","1","","Maserati","Maserati","Italy"
"22628","matra-simca","D Jet","1.3","1963","","","1255","4","in-line","","103","6500","","","","","","Gasoline","","","","","","","660","4220","1510","1210","2410","","","","","0","","Matra-Simca","Matra-Simca","France"
"22661","maybach","SW","","1941","","","3820","6","boxer","2","141","4000","","","","","","Gasoline","","","","","","","2550","5100","","","3690","","","","","1","","Maybach","Maybach","Germany"
"23439","mazda","R 360","Coupe","1960","Coupe","","356","2","V","","16","5300","22","4000","60.0","63.0","","","89","","Rear","Manual","4","2","380","2990","1300","1300","1770","","","","55","1","","Mazda","Mazda","Japan"
"23872","mcc","Smart","","1997","Coupe","Rear","599","3","in-line","","54","","","","","","","","129","","Rear","Manual","2","2","650","2510","1460","","","","","","","1","","MCC","MCC","Germany"
"23904","mclaren","M1C","","1967","","","5818","8","V","2","","","","","","","","Gasoline","","","Rear","Manual","","","","","","","","","","","","0","","McLaren","McLaren","UK"
"24620","mercedes-benz","230","","1941","","Front","2229","6","in-line","2","54","3600","139","1800","","","","Gasoline","","","Rear","","","","1450","4590","1720","1620","3060","","","","","1","","Mercedes-Benz","Mercedes-Benz","Germany"
"26037","mercury","Roadster","","1949","Convertible","Front","3990","8","V","2","110","3800","","","","","","Gasoline","","","Rear","Automatic","","","1550","5260","","","2960","","","","","1","","Mercury","Mercury","USA"
"26201","mg","TD","","1949","Roadster","Front","1250","4","in-line","2","54","5200","87","2600","","","","Gasoline","","","Rear","","2","2","876","3690","1490","1350","2390","","","","","1","","MG","MG","UK"
"26451","mini","MK I","","1960","","Front","848","4","in-line","2","34","5500","60","2900","","","","Gasoline","","","Front","Manual","","","615","3060","1420","1360","2040","","","","","0","","Mini","Mini","UK"
"27363","monteverdi","375","S","1967","","Front","7206","8","V","","380","4600","652","3200","109.7","95.3","10.0:1","","260","6.3","Rear","Automatic","2","2","1600","4610","1800","1280","2520","","","","130","0","","Monteverdi","Monteverdi","Switzerland"
"27450","moretti","La Cita","","1948","","","348","2","in-line","","14","","","","61.8","58.0","","","90","","","Manual","2","2","501","","","","","","","","","0","","Moretti","Moretti","Italy"
"27494","morgan","F Super","","1948","","Front","1267","4","in-line","","39","4300","","","","","","Gasoline","","","Rear","Manual","","","","3460","","","2340","","","","","1","","Morgan","Morgan","UK"
"27586","morris","Ten Four","","1941","","","1140","4","in-line","2","","","","","","","","Gasoline","","","Rear","Manual","","","930","4020","1560","","2390","","","","","0","","Morris","Morris","UK"
"28650","nissan","Sedan","DA","1947","Sedan","Front","722","","","","14","3600","","","","","","Gasoline","","","","","","4","","","","","","","","","","0","","Nissan","Nissan","Japan"
"29110","noble","M10","","1999","","Middle","2500","6","V","4","170","","220","","","","","Gasoline","","","Rear","Manual","2","","960","3870","1760","1170","","","","","","1","","Noble","Noble","UK"
"29131","nsu","Prinz","Sport","1959","","Rear","583","2","in-line","2","30","5500","43","3200","76.0","66.0","","Gasoline","","","Rear","Manual","","","565","3570","1530","1240","2010","","","","","0","","NSU","NSU","Germany"
"29190","oldsmobile","66","Station Wagon","1941","Station Wagon","Front","3903","6","in-line","2","101","3400","","","88.9","104.8","","Gasoline","","","Rear","Manual","","5","1770","5190","1920","","3030","","","","","1","","Oldsmobile","Oldsmobile","USA"
"30110","opel","Kraftfahrzeug","15","1941","","","3626","6","in-line","2","68","2800","","","","","","Gasoline","","","","","","","2700","","","","","","","","","0","","Opel","Opel","Germany"
"30796","packard","12","","1941","","Front","7301","12","V","2","","","","","","","","Gasoline","","","Rear","","","","2450","5800","1910","1830","3440","","","","","1","","Packard","Packard","USA"
"46171","pagani","Zonda","C12","1999","Coupe","Middle","5987","12","V","4","394","5200","569","3800","","","","Gasoline","","4.2","Rear","Manual","2","2","1250","4395","2055","1151","2730","","","","","1","","Pagani","Pagani","Italy"
"30810","panoz","AIV","Roadster","1997","Roadster","Front","4601","8","V","4","306","5800","407","4800","90.2","90.2","","Gasoline","","","Rear","Manual","2","2","1180","4050","1950","1200","2660","","","","59","1","","Panoz","Panoz","USA"
"31424","peugeot","202","Cabriolet","1941","Convertible","Front","1133","4","in-line","2","30","4000","","","","","","Gasoline","","","Rear","Manual","","","850","4120","1510","","2460","","","","","0","","Peugeot","Peugeot","France"
"31812","pininfarina","33","Spider","1971","","Front","1995","8","V","","233","","","","","","","","","","Front","Automatic","","","","","","","","","","","","0","","Pininfarina","Pininfarina","Italy"
"31823","plymouth","Cambridge","P24","1953","","Front","3569","6","in-line","","98","3600","237","1200","","","7.0:1","","","","Rear","Manual","5","","1395","4820","1870","1620","2900","","","","","1","","Plymouth","Plymouth","USA"
"32399","pontiac","Star Chief","","1954","","Front","4715","8","V","2","175","4400","","","","","","Gasoline","","","Rear","Manual","5","","1650","5160","1930","1540","3110","","","","","1","","Pontiac","Pontiac","USA"
"32938","porsche","356","","1948","","Rear","1131","4","in-line","2","39","4200","","","","","","Gasoline","","","Rear","Manual","2","2","780","3870","1660","1300","2110","","","","","1","","Porsche","Porsche","Germany"
"33072","proton","Saloon","","1985","Sedan","Front","1299","4","in-line","","68","6000","102","4000","","","","Gasoline","","","Front","Manual","5","4","920","4290","1660","1370","2390","","","","","0","","Proton","Proton","Malaysia"
"33217","reliant","Sabre 4","","1961","","Front","1703","4","in-line","","71","4400","123","2300","82.6","79.5","8.8:1","Gasoline","","","Rear","Manual","2","2","798","4060","1560","1280","2290","","","","38","0","","Reliant","Reliant","UK"
"33285","renault","Juva","4","1941","","Front","1003","4","in-line","2","24","3500","","","","","","Gasoline","","","Rear","Manual","","","810","3610","1410","1560","2360","","","","","0","","Renault","Renault","France"
"34670","riley","RM A","","1945","","","1496","4","in-line","2","","","","","","","","Gasoline","","","Rear","Manual","","","1235","4560","1620","1550","2870","","","","","0","","Riley","Riley","UK"
"34707","rolls-royce","Silver Wraith","","1946","Sedan","Front","4257","6","in-line","2","125","4400","","","88.9","114.3","6.4:1","Gasoline","","","Rear","Automatic","5","4","2100","5240","1860","1760","3230","","","","81","1","","Rolls-Royce","Rolls-Royce","UK"
"34815","rover","P2","","1941","","","1577","6","in-line","2","48","4600","","","","","","Gasoline","","","","","","","1420","","","","","","","","","0","","Rover","Rover","UK"
"35379","saab","92","","1949","Coupe","Front","762","2","in-line","2","24","4000","","","","","","Gasoline","","","Front","","","2","805","3960","1630","1460","2480","","","","","1","","Saab","Saab","Sweden"
"35481","samsung","SM","520","1998","","","1998","4","in-line","","","","","","","","","","198","","","","5","4","1320","4830","1780","1420","2710","","","","","0","","Samsung","Samsung","South Korea"
"35539","saturn","Sports Coupe","","1991","Coupe","Front","1901","4","in-line","","125","6800","164","4800","82.1","90.0","9.5:1","","","","Front","Manual","4","2","1080","4470","1720","1290","2530","","","","","1","","Saturn","Saturn","USA"
"36270","simca","5","","1941","Coupe","Front","568","4","in-line","2","14","4000","","","","","","Gasoline","","","Rear","","","2","560","3220","1280","1350","2010","","","","","0","","Simca","Simca","France"
"36298","singer","SM 1500","Roadster","1951","","Front","1495","4","in-line","","48","4200","98","2200","73.0","89.4","7.0:1","","121","","Rear","Manual","2","2","840","3860","1480","1240","2320","","","","","0","","Singer","Singer","UK"
"36707","skoda","Polular 995","","1941","","","993","4","in-line","2","22","3500","","","","","","Gasoline","","","","","","","730","3810","1410","1490","","","","","","0","","Skoda","Skoda","Czech Republic"
"36765","smart","ForFour","1.5 Pulse","2000","Hatchback","Front","1499","4","in-line","4","109","6000","","","","","10.5:1","Gasoline - Premium","","9.8","Front","Manual","5","5","975","3760","1690","1460","","","6.1","","47","1","","Smart","Smart","France"
"36805","spyker","C8","Double 12 S","2001","Convertible","Middle","3999","8","V","4","406","","","","","","","Gasoline","","4.5","Rear","Manual","2","2","1350","4590","1990","1200","2680","","","","100","1","","Spyker","Spyker","Netherlands"
"36924","ssangyong","Musso","","1995","SUV","Front","2874","5","in-line","","95","4000","192","2600","","","","Diesel","","","4WD","Manual","","","1755","4650","1860","1740","","","","","","0","","SsangYong","SsangYong","South Korea"
"52180","ssc","Aero","","2006","Coupe","Middle","6000","8","V","","1077","6600","1357","5800","","","","Gasoline - Premium","380","","Rear","6-speed manual","2","2","1293","4470","2080","1090","","","","","","1","","SSC","SSC","USA"
"37038","steyr","220","","1941","","Front","2258","6","in-line","2","54","3600","","","73.0","90.0","","Gasoline","","","","","5","","1270","","1630","","2850","","","","","0","","Steyr","Steyr","Austria"
"37067","studebaker","Champion","","1946","","Front","2785","6","in-line","2","80","4000","","","","","","Gasoline","","","","","","","","","","","","","","","","1","","Studebaker","Studebaker","USA"
"37445","subaru","K 111","","1956","","Rear","356","2","in-line","","16","4500","","","","","","Gasoline","","","","","4","","385","3000","1310","1390","1810","","","","","1","","Subaru","Subaru","Japan"
"37751","sunbeam","10","","1941","","","1185","4","in-line","2","38","4500","","","","","","Gasoline","","","","","","","","","","","","","","","","0","","Sunbeam","Sunbeam","UK"
"38295","suzuki","Light","SS","1955","","","359","","","","14","4000","34","2700","","","","Gasoline","","","","","","","540","3000","1300","1410","2010","","","","","0","","Suzuki","Suzuki","Japan"
"38413","talbot","T 26","","1947","","","4481","6","in-line","2","170","4000","","","","","","Gasoline","","","Rear","Manual","","","1600","5060","1770","","3130","","","","","0","","Talbot","Talbot","UK"
"38434","tata","Estate","","1991","","","1947","4","in-line","2","68","","118","2500","","","","Diesel","","","Rear","Manual","","","1640","4630","1710","1620","2830","","","","","0","","Tata","Tata","India"
