'id_car_option_value','id_car_option','id_car_equipment','is_base','date_create','date_update','id_car_type'
'17757','960','284','1','1464484349','1464484349','1'
'17758','1003','284','1','1464484349','1464484349','1'
'17759','1066','284','1','1464484349','1464484349','1'
'17760','83','284','1','1464484349','1464484349','1'
'17761','648','284','1','1464484349','1464484349','1'
'17762','1004','284','1','1464484349','1464484349','1'
'17763','1006','284','0','1464484349','1464845185','1'
'17764','1008','284','0','1464484349','1464845186','1'
'17765','22','284','0','1464484349','1464845186','1'
'17766','1010','284','1','1464484349','1464484349','1'
'17767','1067','284','1','1464484349','1464484349','1'
'17768','25','284','0','1464484349','1464845186','1'
'17769','1068','284','1','1464484349','1464484349','1'
'17770','260','284','1','1464484349','1464484349','1'
'17771','29','284','1','1464484349','1464484349','1'
'17772','513','284','1','1464484349','1464484349','1'
'17773','245','284','1','1464484349','1464484349','1'
'17774','213','284','1','1464484349','1464484349','1'
'17775','31','284','1','1464484349','1464484349','1'
'17776','552','284','1','1464484349','1464484349','1'
'17777','1019','284','1','1464484349','1464484349','1'
'17778','1020','284','1','1464484349','1464484349','1'
'17779','896','284','1','1464484349','1464484349','1'
'17780','1069','284','1','1464484349','1464484349','1'
'17781','200','284','1','1464484349','1464484349','1'
'17782','218','284','1','1464484349','1464484349','1'
'17783','1070','284','1','1464484349','1464484349','1'
'17784','407','284','1','1464484349','1464484349','1'
'17785','33','284','1','1464484349','1464484349','1'
'17786','1071','284','1','1464484349','1464484349','1'
'17787','162','284','1','1464484349','1464484349','1'
'17788','455','284','1','1464484349','1464484349','1'
'17789','1072','284','1','1464484349','1464484349','1'
'17790','35','284','1','1464484349','1464484349','1'
'17791','1057','284','1','1464484349','1464484349','1'
'17792','1073','284','1','1464484349','1464484349','1'
'17793','264','284','1','1464484349','1464484349','1'
'17794','1074','284','1','1464484349','1464484349','1'
'17795','1075','284','1','1464484349','1464484349','1'
'17796','1027','284','1','1464484349','1464484349','1'
'17797','1030','284','1','1464484349','1464484349','1'
'17798','589','284','1','1464484349','1464484349','1'
'17799','636','284','1','1464484349','1464484349','1'
'17800','1032','284','1','1464484349','1464484349','1'
'17801','1033','284','1','1464484349','1464484349','1'
'17802','1076','284','1','1464484349','1464484349','1'
'17803','620','284','1','1464484349','1464484349','1'
'17804','945','284','1','1464484349','1464484349','1'
'17805','1077','284','1','1464484349','1464484349','1'
'17806','1038','284','1','1464484349','1464484349','1'
'17807','1078','284','1','1464484349','1464484349','1'
'17808','1079','284','1','1464484349','1464484349','1'
'17809','1040','284','1','1464484349','1464484349','1'
'17810','78','284','1','1464484349','1464484349','1'
'17812','130','284','1','1464484349','1464484349','1'
'17813','1041','284','1','1464484349','1464484349','1'
'17814','266','284','1','1464484349','1464484349','1'
'17815','901','284','1','1464484349','1464484349','1'
'17816','232','284','1','1464484349','1464484349','1'
'17817','1043','284','1','1464484349','1464484349','1'
'17818','722','284','1','1464484349','1464484349','1'
'17819','1046','284','1','1464484349','1464484349','1'
'17820','1047','284','1','1464484349','1464484349','1'
'17821','86','284','1','1464484349','1464484349','1'
'17822','1048','284','1','1464484349','1464484349','1'
'17823','1080','284','1','1464484349','1464484349','1'
'17824','1081','284','1','1464484349','1464484349','1'
'17825','235','284','1','1464484349','1464484349','1'
'17826','236','284','1','1464484349','1464484349','1'
'17827','216','284','1','1464484349','1464484349','1'
'17828','1082','284','1','1464484349','1464484349','1'
'17829','664','284','1','1464484349','1464484349','1'
'17830','1083','284','1','1464484349','1464484349','1'
'17831','1084','284','1','1464484349','1464484349','1'
'17832','176','284','1','1464484349','1464484349','1'
'17833','1050','284','1','1464484349','1464484349','1'
'17834','627','284','1','1464484349','1464484349','1'
'17835','181','284','1','1464484349','1464484349','1'
'17836','2','285','1','1464484350','1464484350','1'
'17837','3','285','1','1464484350','1464484350','1'
'17838','4','285','1','1464484350','1464484350','1'
'17839','978','285','1','1464484350','1464484350','1'
'17840','70','285','1','1464484350','1464484350','1'
'17842','6','285','1','1464484350','1464484350','1'
'17843','1058','285','1','1464484350','1464484350','1'
'17844','759','285','1','1464484350','1464484350','1'
'17845','983','285','1','1464484350','1464484350','1'
'17846','985','285','1','1464484350','1464484350','1'
'17847','1059','285','1','1464484350','1464484350','1'
'17848','7','285','1','1464484350','1464484350','1'
'17849','957','285','1','1464484350','1464484350','1'
'17850','494','285','1','1464484350','1464484350','1'
